Ano de exibição,Título da obra,Público no ano de exibição,Renda (R$) no ano de exibição,Gênero
2019,Neville D'Almeida - Cronista Da Beleza E Do Caos,530.0,6436.0,Documentário
2019,"Nico, 1988",14.0,160.0,Ficção
2019,Nise - O Coração Da Loucura,14.0,70.0,Ficção
2019,No Coração Do Mundo,430.0,5460.0,Ficção
2019,No Portal Da Eternidade,64285.0,1199488.0,Ficção
2019,Noite Mágica,662.0,8232.0,Ficção
2019,Nos Vemos No Paraíso,189.0,2268.0,Ficção
2019,Nosso Lar,667.0,2668.0,Ficção
2019,Nova Amsterdam,268.0,4375.0,Ficção
2019,Novas Espécies - A Expedição Do Século,115.0,2118.0,Documentário
2019,Não Mexa Com Ela,13037.0,214824.0,Ficção
2019,Não Olhe!,14523.0,267357.0,Ficção
2019,Nós,509920.0,8364265.0,Ficção
2019,O Abismo Prateado,5.0,105.0,Ficção
2019,O Abraço Da Serpente,125.0,2030.0,Ficção
2019,O Amante Duplo,22.0,189.0,Ficção
2019,O Amigo Do Rei,1654.0,18921.0,Documentário
2019,O Amor Dá Trabalho,58666.0,912017.0,Ficção
2019,O Animal Cordial,30.0,245.0,Ficção
2019,O Anjo,31212.0,562349.0,Ficção
2019,O Banquete,5.0,72.0,Ficção
2019,O Bar Luva Dourada,9505.0,153272.0,Ficção
2019,O Beijo No Asfalto,3100.0,28032.0,Ficção
2019,O Bom Dinossauro,40.0,791.0,Animação
2019,O Caravaggio Roubado,12876.0,204020.0,Ficção
2019,O Chalé É Uma Ilha Batida De Vento E Chuva,333.0,2701.0,Documentário
2019,O Ciclo Da Vida,80.0,552.0,Ficção
2019,O Clube Dos Canibais,1949.0,17408.0,Ficção
2019,O Colar De Coralina,31.0,229.0,Ficção
2019,O Confeiteiro,28778.0,466460.0,Ficção
2019,O Corpo É Nosso!,1392.0,14314.0,Documentário
2019,O Enigma Da Rosa,2213.0,33274.0,Ficção
2019,O Escândalo,327.0,4452.0,Ficção
2019,O Exterminador Do Futuro: Destino Sombrio,1024351.0,16167184.0,Ficção
2019,O Filho Do Homem,1335.0,13808.0,Ficção
2019,O Filme Da Minha Vida,9.0,163.0,Ficção
2019,"O Fim Da Viagem, O Começo De Tudo",2250.0,32378.0,Ficção
2019,O Futuro Adiante,168.0,1141.0,Ficção
2019,O Galã,2128.0,33887.0,Ficção
2019,O Grande Circo Mistico,360.0,5080.0,Ficção
2019,O Grinch,2466.0,30459.0,Animação
2019,O Gênio E O Louco,69105.0,1529289.0,Ficção
2019,O Homem Que Matou Don Quixote,4568.0,80825.0,Ficção
2019,O Iluminado,7697.0,100196.0,Ficção
2019,O Incerto Lugar Do Desejo,1038.0,18979.0,Documentário
2019,O Irlandês,22828.0,375386.0,Ficção
2019,O Juízo,11561.0,192240.0,Ficção
2019,O Manicômino,108975.0,1712519.0,Ficção
2019,O Mau Exemplo De Cameron Post,8815.0,142509.0,Ficção
2019,O Menino Que Fazia Rir,4574.0,61122.0,Ficção
2019,O Menino Que Queria Ser Rei,230528.0,3242106.0,Ficção
